Pokemon,Speed
charizard,100
butterfree,70
pidgey,56
pidgeotto,71
pidgeot,101
spearow,70
fearow,100
zubat,55
golbat,90
farfetchd,60
doduo,75
dodrio,100
scyther,105
gyarados,81
aerodactyl,130
articuno,85
zapdos,100
moltres,90
dragonite,80
hoothoot,50
noctowl,70
ledyba,55
ledian,85
crobat,130
togetic,40
natu,70
xatu,95
hoppip,50
skiploom,80
jumpluff,110
yanma,95
murkrow,91
gligar,85
delibird,75
mantine,70
skarmory,70
lugia,110
ho-oh,90
beautifly,65
taillow,85
swellow,125
wingull,85
pelipper,65
masquerain,60
ninjask,160
swablu,50
altaria,80
tropius,51
salamence,100
rayquaza,95
starly,60
staravia,80
staraptor,100
mothim,66
combee,70
vespiquen,40
drifloon,70
drifblim,80
honchkrow,71
chatot,91
mantyke,50
togekiss,80
yanmega,95
gliscor,95
pidove,43
tranquill,65
unfezant,93
woobat,72
swoobat,114
sigilyph,97
archen,70
archeops,110
ducklett,55
swanna,98
emolga,103
rufflet,60
braviary,80
vullaby,60
mandibuzz,80
tornadus-incarnate,111
thundurus-incarnate,111
landorus-incarnate,101
fletchling,62
fletchinder,84
talonflame,126
vivillon,89
hawlucha,118
noibat,55
noivern,123
yveltal,99
shaymin-sky,127
rotom-fan,86
tornadus-therian,121
thundurus-therian,101
landorus-therian,91
charizard-mega-y,100
pinsir-mega,105
aerodactyl-mega,150
pidgeot-mega,121
rayquaza-mega,115
salamence-mega,120
