A,B,Hypotenuse
1,1,1.0
1,2,2.0
1,3,3.0
1,4,4.0
1,5,5.0
1,6,6.0
1,7,7.0
1,8,8.0
1,9,9.0
1,10,10.0
2,2,4.0
2,3,6.0
2,4,8.0
2,5,10.0
2,6,12.0
2,7,14.0
2,8,16.0
2,9,18.0
2,10,20.0
3,3,9.0
3,4,12.0
3,5,15.0
3,6,18.0
3,7,21.0
3,8,24.0
3,9,27.0
3,10,30.0
4,4,16.0
4,5,20.0
4,6,24.0
4,7,28.0
4,8,32.0
4,9,36.0
4,10,40.0
5,5,25.0
5,6,30.0
5,7,35.0
5,8,40.0
5,9,45.0
5,10,50.0
6,6,36.0
6,7,42.0
6,8,48.0
6,9,54.0
6,10,60.0
7,7,49.0
7,8,56.0
7,9,63.0
7,10,70.0
8,8,64.0
8,9,72.0
8,10,80.0
9,9,81.0
9,10,90.0
10,10,100.0
